X,Y,SOCD (MgC/ha)
-98.0360579,25.92070869,26.2493045
-97.76457468,25.88338983,26.2493045
-110.56306,29.08297256,25.4149591
-103.3497238,32.998333,25.37316998
-107.4307517,28.49354502,24.99675956
-107.1117151,27.12669933,24.99675956
-103.5109068,24.54887633,24.99675956
-103.1957156,24.38484069,24.99675956
-103.1531357,23.92940482,24.99675956
-101.9047366,22.59263298,24.99675956
-101.6634735,28.06485937,24.99675956
-101.3132622,27.56949599,24.99675956
-100.9642619,26.41685033,24.99675956
-99.5837111,26.48687692,24.99675956
-104.8225021,32.8311119,24.15830266
-109.9726919,28.62839861,23.73804363
-109.8337025,27.55427878,23.73804363
-109.6807626,30.35942212,23.73804363
-109.4576866,28.22203044,23.73804363
-109.1860236,28.18231263,23.73804363
-107.7946999,29.83062763,23.73804363
-107.5234428,28.88271532,23.73804363
-107.1910287,24.46079804,23.73804363
-106.9315853,28.32760798,23.73804363
-106.8519664,24.00588409,23.73804363
-106.25269,27.51377506,23.73804363
-106.2361149,27.95846272,23.73804363
-104.9990457,25.38719347,23.73804363
-104.1836784,24.14754907,23.73804363
-103.7053172,24.53749249,23.73804363
-102.7771677,23.06611518,23.73804363
-102.6951174,23.12779928,23.73804363
-102.5470443,23.04657928,23.73804363
-102.0738712,22.91032689,23.73804363
-101.4667552,23.97680246,23.73804363
-101.341752,24.09135408,23.73804363
-101.0338261,26.69288352,23.73804363
-100.9703479,23.94098263,23.73804363
-99.90468336,27.58972909,23.73804363
-99.80584476,25.9243217,23.73804363
-99.77422804,26.41404471,23.73804363
-99.50522442,25.83037666,23.73804363
-102.4268801,22.89276094,22.89546028
-91.93309784,30.89529991,22.81105029
-110.4216635,31.10132934,22.47313428
-109.0875116,27.39747337,22.47313428
-109.0312896,28.86506683,22.47313428
-107.8551956,29.09985963,22.47313428
-107.1115803,27.93458051,22.47313428
-105.9565319,27.2778264,22.47313428
-102.5732172,22.93239004,22.47313428
-101.5368013,23.09473171,22.47313428
-101.0347251,22.54735042,22.47313428
-100.869016,27.80565095,22.47313428
-100.595593,22.58977606,22.47313428
-97.48333936,25.69940161,22.47313428
-104.6374969,32.7161102,21.96543135
-109.7596387,28.27536471,21.20200901
-109.6703505,27.74656818,21.20200901
-109.3804204,27.79684827,21.20200901
-109.2211176,27.36694461,21.20200901
-108.9742156,29.60872725,21.20200901
-108.9571303,30.22277477,21.20200901
-108.2568458,28.8206317,21.20200901
-107.6029693,27.7315545,21.20200901
-107.1915411,27.29172617,21.20200901
-107.0768372,28.02705996,21.20200901
-106.7043655,27.0651833,21.20200901
-105.490732,26.53465874,21.20200901
-105.4071046,27.10836431,21.20200901
-104.6962136,24.4211529,21.20200901
-104.6129254,26.26606203,21.20200901
-103.8766514,24.66248289,21.20200901
-103.5176214,23.83502044,21.20200901
-103.1028861,23.59586605,21.20200901
-102.3470438,22.85520671,21.20200901
-102.3060509,22.19638852,21.20200901
-101.9608769,22.85502883,21.20200901
-101.8836427,23.43760267,21.20200901
-101.5823278,27.22719997,21.20200901
-101.4989681,27.35963575,21.20200901
-101.1453971,26.35909314,21.20200901
-101.0333815,23.69171959,21.20200901
-100.6395464,27.59499318,21.20200901
-100.4668467,27.49608993,21.20200901
-100.3255328,27.53093737,21.20200901
-100.168567,27.21371373,21.20200901
-100.1189867,27.18828298,21.20200901
-99.95809875,26.6852163,21.20200901
-99.65591605,27.18683582,21.20200901
-99.64390345,25.97076235,21.20200901
-99.08443535,25.24821488,21.20200901
-98.03653592,25.71401812,21.20200901
-98.476944,31.8244438,21.07455374
-98.9192722,33.3480333,20.94703607
-91.95110321,30.93110085,20.6918134
-98.6033325,26.5183334,20.18061818
-109.5647463,27.33636858,19.92464526
-109.0068224,27.04797998,19.92464526
-107.2807423,24.36052339,19.92464526
-107.1099242,27.27489249,19.92464526
-106.1088491,27.50442041,19.92464526
-105.3738579,24.90199177,19.92464526
-104.1745155,25.83618244,19.92464526
-102.7109022,22.97740793,19.92464526
-101.7775259,22.32624091,19.92464526
-100.9542046,27.85332509,19.92464526
